"p","K","rho_across","Method","Metric","Median","Q25","Q75"
50,3,0,"Bayesian FGL","log_score",-0.403261836020956,-0.969335043879845,-0.0918270497100613
5,3,0.1,"Sample Cov. Inverse","mse",0.0108300227479166,0.00541641240910841,0.0158255892739612
5,3,0.1,"Sample Cov. Inverse","log_score",-1.12262319999261,-1.62575509710548,-0.66032257972242
5,3,0.1,"Inverse-Wishart","mse",0.0169533229538652,0.0115787665491246,0.021552838826866
5,3,0.1,"Inverse-Wishart","log_score",-1.13332887433227,-1.6520439099768,-0.649110508730031
5,3,0.1,"Bayesian GL","mse",0.0116459422290336,0.00793103399611683,0.014770963175955
5,3,0.1,"Bayesian GL","log_score",-0.967168693528094,-1.67152217065683,-0.587829886293034
5,3,0.1,"Adaptive Bayesian GL","mse",0.00631569421475473,0.00444518489212744,0.00875058894348101
5,3,0.1,"Adaptive Bayesian GL","log_score",-1.03238397185965,-1.95084916094695,-0.514209529564074
5,3,0.1,"Bayesian FGL","mse",0.014371170706972,0.0111540956004996,0.0187783076104551
5,3,0.1,"Bayesian FGL","log_score",-1.07422955525283,-1.64351506265767,-0.631839296748046
10,3,0.1,"Sample Cov. Inverse","mse",0.0120365850625519,0.0082694389770799,0.016196985160915
10,3,0.1,"Sample Cov. Inverse","log_score",-0.629493940293236,-0.917776286070451,-0.380972578450459
10,3,0.1,"Inverse-Wishart","mse",0.0216779666054507,0.0176291926515549,0.025671607549871
10,3,0.1,"Inverse-Wishart","log_score",-0.61219599425907,-0.942621691397305,-0.355689805790328
10,3,0.1,"Bayesian GL","mse",0.016493084053213,0.0137842459277132,0.0194012438845734
10,3,0.1,"Bayesian GL","log_score",-0.506536647241793,-1.01636709770417,-0.454535132157114
10,3,0.1,"Adaptive Bayesian GL","mse",0.00951010378943733,0.00743093438656843,0.0121693045522386
10,3,0.1,"Adaptive Bayesian GL","log_score",-0.565780974800811,-0.972705414769823,-0.360393908124823
10,3,0.1,"Bayesian FGL","mse",0.0168758766313854,0.0154946544617861,0.0216555688704847
10,3,0.1,"Bayesian FGL","log_score",-0.612149145473961,-0.98654904161821,-0.370870860274807
20,3,0.1,"Sample Cov. Inverse","mse",0.0193057031514933,0.015837691888913,0.0228607368693748
20,3,0.1,"Sample Cov. Inverse","log_score",-1.12914818323948,-1.86346874461316,-0.39092249549242
20,3,0.1,"Inverse-Wishart","mse",0.028133081291858,0.024203573951317,0.0306960767202938
20,3,0.1,"Inverse-Wishart","log_score",-1.07291872376809,-1.89838645443362,-0.419847628895029
20,3,0.1,"Bayesian GL","mse",0.0185861942963654,0.0165354952316999,0.0211132749422049
20,3,0.1,"Bayesian GL","log_score",-0.951019238816714,-1.56759344824261,-0.409268535019474
20,3,0.1,"Adaptive Bayesian GL","mse",0.0125140109820429,0.0107705514349053,0.0151422960739653
20,3,0.1,"Adaptive Bayesian GL","log_score",-0.925275283600351,-1.73586586502888,-0.489845370415435
20,3,0.1,"Bayesian FGL","mse",0.0174569824358973,0.0165123489518586,0.0213393009774638
20,3,0.1,"Bayesian FGL","log_score",-1.02159393245502,-1.6447211573853,-0.374286751402674
30,3,0.1,"Sample Cov. Inverse","mse",0.0222810073620878,0.0175360920277014,0.0320860002180757
30,3,0.1,"Sample Cov. Inverse","log_score",-0.806614275393665,-1.41389291784524,-0.305757420054481
30,3,0.1,"Inverse-Wishart","mse",0.0296402659542056,0.0254028055266728,0.0390919663690954
30,3,0.1,"Inverse-Wishart","log_score",-0.749269015077672,-1.47719862700086,-0.358567859472904
30,3,0.1,"Bayesian GL","mse",0.0150278082677116,0.0142077823412089,0.0175381517742228
30,3,0.1,"Bayesian GL","log_score",-0.877167073086043,-1.17881576917928,-0.425880289744866
30,3,0.1,"Adaptive Bayesian GL","mse",0.0127919534432164,0.0109946881842745,0.0144392226416439
30,3,0.1,"Adaptive Bayesian GL","log_score",-0.723090474070635,-1.33348010089921,-0.41101952832249
30,3,0.1,"Bayesian FGL","mse",0.0153509936925394,0.0138936320900226,0.0185823640630522
30,3,0.1,"Bayesian FGL","log_score",-0.792201639762155,-1.2504690917578,-0.418534710296665
50,3,0.1,"Sample Cov. Inverse","mse",0.0316362499356749,0.0258929515087419,0.0349842229891215
50,3,0.1,"Sample Cov. Inverse","log_score",-1.71629035905407,-3.71638340730352,-0.30465816602266
50,3,0.1,"Inverse-Wishart","mse",0.0314384018682474,0.0278559764644463,0.0353079637825153
50,3,0.1,"Inverse-Wishart","log_score",-1.10670401536563,-2.36896041707772,-0.331572512382351
50,3,0.1,"Bayesian GL","mse",0.00981718124188988,0.00925987884823038,0.0111126446940737
50,3,0.1,"Bayesian GL","log_score",-0.538491579223876,-1.2702971636089,-0.25986251735749
50,3,0.1,"Adaptive Bayesian GL","mse",0.00855331087343989,0.0081193031305754,0.00991312271626845
50,3,0.1,"Adaptive Bayesian GL","log_score",-0.445202694815049,-0.907641105225961,-0.236367192170107
50,3,0.1,"Bayesian FGL","mse",0.0101835639356177,0.00979520955364054,0.0116644606355978
50,3,0.1,"Bayesian FGL","log_score",-0.531357427748268,-1.32932190237204,-0.270422445430978
5,3,0.3,"Sample Cov. Inverse","mse",0.0129107779664459,0.00636023491466546,0.0206134855565795
5,3,0.3,"Sample Cov. Inverse","log_score",-1.13293776642458,-1.71619015550414,-0.774729340279778
5,3,0.3,"Inverse-Wishart","mse",0.0228876151919803,0.0157041028766119,0.0279548279129165
5,3,0.3,"Inverse-Wishart","log_score",-1.12266473813717,-1.7459004486037,-0.772577980566215
5,3,0.3,"Bayesian GL","mse",0.0149729165543159,0.0117712728898546,0.0217064856227881
5,3,0.3,"Bayesian GL","log_score",-1.00858792894158,-1.75110100042287,-0.740520412485808
5,3,0.3,"Adaptive Bayesian GL","mse",0.0124830306434089,0.0102730679361601,0.0181808531162286
5,3,0.3,"Adaptive Bayesian GL","log_score",-1.13003848678656,-1.75750374443045,-0.74242844680866
5,3,0.3,"Bayesian FGL","mse",0.0189753321606873,0.014323812736049,0.0259898164976908
5,3,0.3,"Bayesian FGL","log_score",-1.10786622035043,-1.73538353154557,-0.749227740772238
10,3,0.3,"Sample Cov. Inverse","mse",0.0145164799797056,0.0111696655829315,0.0186010684882148
10,3,0.3,"Sample Cov. Inverse","log_score",-0.864800083723795,-1.72006395762419,-0.750698750798736
10,3,0.3,"Inverse-Wishart","mse",0.0302038529345166,0.0237826541114552,0.0327741760694571
10,3,0.3,"Inverse-Wishart","log_score",-0.873370558428548,-1.70858412959145,-0.735119794580278
10,3,0.3,"Bayesian GL","mse",0.0225214387761664,0.0189927596736488,0.0274757574344394
10,3,0.3,"Bayesian GL","log_score",-0.894755440548967,-1.66392304250911,-0.719687919622317
10,3,0.3,"Adaptive Bayesian GL","mse",0.0161644953863635,0.0144701606692448,0.0204843560256167
10,3,0.3,"Adaptive Bayesian GL","log_score",-0.887368823683311,-1.68150399624727,-0.753336250522859
10,3,0.3,"Bayesian FGL","mse",0.0240211996470605,0.0194006620310541,0.0261838894076467
10,3,0.3,"Bayesian FGL","log_score",-0.899537224106622,-1.71778234125447,-0.730677918363406
20,3,0.3,"Sample Cov. Inverse","mse",0.0260616323329001,0.0206490079551026,0.0311043484458903
20,3,0.3,"Sample Cov. Inverse","log_score",-1.32139428493464,-1.99149532138763,-0.584437211618687
